id,answer_id,item_code,item_order
1,10,item5,0
2,11,item1,0
3,11,item5,1
4,11,item6,2
5,22,item6-1,0
6,44,item1-2,0
7,47,item2,0
8,47,item4,1
9,47,item5,2
10,47,item6,3
11,47,item7,4
12,47,item8,5
13,47,item9,6
14,50,item10,0
15,50,item7,1
16,50,item9,2
17,92,item5,0
18,93,item1,0
19,93,item5,1
20,93,item6,2
21,103,item2-2,0
22,114,item6-1,0
23,142,item1-2,0
24,145,item2,0
25,145,item4,1
26,145,item5,2
27,145,item6,3
28,145,item7,4
29,145,item8,5
30,145,item9,6
31,145,item3,7
32,145,item14,8
33,148,item7,0
34,148,item9,1
35,148,item11,2
36,148,item12,3
37,191,item5,0
38,192,item2,0
39,192,item1,1
40,192,item4,2
41,201,item4-0,0
42,211,item3-1,0
43,241,item3,0
44,241,item5,1
45,241,item14,2
46,241,item9,3
47,286,item1,0
48,287,item2,0
49,287,item3,1
50,287,item4,2
51,287,item5,3
52,296,item2-2,0
53,296,item4-0,1
54,296,item6-0,2
55,308,item6-1,0
56,337,item2,0
57,337,item4,1
58,337,item5,2
59,337,item6,3
60,337,item7,4
61,337,item10,5
62,337,item9,6
63,381,item3,0
64,381,item4,1
65,381,item5,2
66,382,item2,0
67,382,item4,1
68,382,item5,2
69,391,item4-0,0
70,391,item6-0,1
71,403,item6-1,0
72,433,item4,0
73,433,item5,1
74,433,item6,2
75,433,item7,3
76,433,item10,4
77,433,item2,5
78,433,item3,6
79,433,item9,7
80,436,item7,0
81,436,item11,1
82,436,item14,2
83,436,item9,3
84,479,item4,0
85,479,item3,1
86,480,item1,0
87,488,item3-1,0
88,512,item3,0
89,512,item5,1
90,512,item4,2
91,512,item7,3
92,512,item6,4
93,552,item2,0
94,553,item6,0
95,553,item5,1
96,563,item3-0,0
97,563,item4-0,1
98,563,item5-0,2
99,563,item6-0,3
100,574,item7-1,0
101,601,item1-2,0
102,603,item5,0
103,603,item6,1
104,603,item11,2
105,603,item8,3
106,603,item13,4
107,605,item7,0
108,605,item13,1
109,649,item4,0
110,650,item1,0
111,650,item3,1
112,650,item5,2
