submission_id,bias_testing_documented,bias_testing_public,data_quality_process_documented,data_quality_process_public,gba_plus_conducted,gba_plus_public,accountability_assigned,outdated_data_process,outdated_data_process_public,data_on_open_gov_portal
3,2,0,1,0,1,0,2,2,0,0
8,2,0,1,0,1,0,2,2,0,0
9,0,0,0,0,0,0,2,0,0,0
12,2,0,1,0,1,0,2,2,1,0
21,2,0,0,0,1,0,2,2,0,0
22,2,0,1,0,0,0,2,2,0,0
28,2,0,0,0,1,0,2,2,0,0
32,2,0,1,0,0,0,2,2,0,0
35,2,0,1,0,1,0,2,2,0,0
38,0,0,0,0,0,0,2,2,0,0
47,0,0,0,0,0,0,2,0,0,0
48,0,,0,0,0,0,2,0,0,0
53,2,0,1,0,1,0,2,2,0,0
54,0,0,0,0,1,0,2,0,0,0
59,0,0,1,0,0,0,2,2,0,0
60,0,0,1,0,0,0,2,2,0,0
64,2,0,1,0,1,0,2,2,0,0
68,2,0,1,0,1,0,2,2,0,0
75,2,0,0,0,1,0,2,2,0,0
83,2,0,1,0,1,0,2,2,0,2
86,2,0,1,0,0,0,2,2,0,0
87,2,0,1,0,0,0,2,2,0,0
89,2,0,1,0,1,0,2,0,0,0
91,2,0,1,0,1,0,2,0,0,0
95,2,1,1,0,1,0,2,2,0,0
97,2,0,0,0,1,0,2,2,0,0
99,2,0,0,0,1,0,2,2,0,0
106,2,0,1,0,1,0,2,2,0,0
109,2,0,1,0,1,0,2,2,0,0
112,2,0,1,0,1,0,2,2,0,0
