submission_id,pia_conducted,pia_description_en,pia_description_fr,privacy_by_design,closed_system,data_sharing_agreement,de_identification_applied,de_identification_method_en,de_identification_method_fr
3,0,,,1,0,0,,,
8,0,,,1,0,0,0,,
9,1,"Privacy Impact Assessment for Receipt of Entry-Exit Data from the Canada Border Service Agency by the Old Age Security Program.

The automation project fits into the prioritization and optimization of observations, as described in the business flow section of the Privacy Impact Assessment.

Date of completion 30 Jul 2020.","Évaluation de l’Impact sur la Vie Privée pour la Réception des Données sur les entrées et les sorties de l’Agence des services frontaliers du Canada par le Programme de la sécurité de la vieillesse.

Le projet d’automatisation s’inscrit dans la priorisation et l’optimisation des observations, tel que décrit dans la section du flux des affaires de l’Évaluation de l’Impact sur la Vie Privée.

Date d’achèvement le 30 juillet 2020.",1,1,1,0,,
12,1,"In 2003 Passport Canada completed a privacy impact assessment (Facial Recognition Project Privacy Impact Assessment) that assessed  privacy issues and risks associated with the proof of concept of using facial recognition to compare (mock up) passport photos against photos supplied by three stakeholder departments (Royal Canadian Mounted Police, Citizenship and Immigration Canada, and Canadian Security and Intelligence Service). In 2011, Passport Canada completed a second assessment (Facial Recognition Project Privacy Impact Assessment) which assessed privacy risks associated to the Passport Program's use of as facial recognition system as part of the passport entitlement process.  In 2024-25, Immigration, Refugees, and Citizenship Canada's Passport Program (formerly Passport Canada) will complete a new privacy impact assessment of the Passport Program's Facial Recognition System to assess privacy risks associated to changes to the existing system.","En 2003, Passeport Canada a réalisé une évaluation des facteurs relatifs à la vie privée (évaluation des facteurs relatifs à la vie privée dans le cadre du projet de reconnaissance faciale) qui portait sur les problèmes et les risques en matière de protection des renseignements personnels associés à la validation de principe de l’utilisation de la reconnaissance faciale pour comparer des photos de passeport (modèles) à des photos fournies par trois ministères concernés (la Gendarmerie royale du Canada, Citoyenneté et Immigration Canada et le Service canadien du renseignement de sécurité). En 2011, Passeport Canada a effectué une deuxième évaluation (évaluation des facteurs relatifs à la vie privée dans le cadre du projet de reconnaissance faciale), qui portait sur les risques en matière de protection des renseignements personnels associés à l’utilisation d’un système de reconnaissance faciale par le Programme de passeport dans le cadre du processus d’évaluation de l’admissibilité au passeport. En 2024, le Programme de passeport d’Immigration, Réfugiés et Citoyenneté Canada (anciennement Passeport Canada) effectuera une nouvelle évaluation des facteurs relatifs à la vie privée dans le cadre du système de reconnaissance faciale du Programme de passeport qui portera sur les risques en matière de protection des renseignements personnels associés aux changements apportés au système existant.",1,0,1,1,"For research and development activities, data may be depersonalized and a unique identifier could be used instead. (e.g., performance testing)",
21,0,,,1,0,0,0,,
22,1,,,1,1,1,,,
28,1,"Using artificial intelligence (AI) to automate candidate evaluations in the staffing process's assessment phase

Knockri is a software company that specializes in AI-driven hiring assessments. They provide an AI-based skills assessment platform that aims to help employers make more informed hiring decisions by evaluating candidates' job-related skills and competencies. Knockri's software utilizes natural language processing (NLP) and machine learning algorithms to analyze candidates' responses to video or text-based interview questions. The platform assesses various factors, such as language proficiency, communication skills, cognitive abilities, and personality traits, to provide employers with insights into candidates' suitability for a particular role. By leveraging AI and automation, Knockri aims to reduce bias in the hiring process and improve overall efficiency, helping employers identify the most qualified candidates more effectively. It provides data-driven insights and analytics to help organizations make objective and informed decisions in their recruitment processes.  

In this pilot project, HRD will be working with the Employment Equity Recruitment Team to leverage Knockri in the assessment stage of the hiring process for approximately a total of 350 Administrative Services (AS) and Executives (EX) candidates. Candidates can choose between taking the Knockri assessment or requesting an accommodation. If a candidate decides to proceed with the Knockri assessment, they will receive an email before the assessment explaining how the platform operates. In this email, candidates will be informed that Knockri will collect and retain their information, including email addresses, and audio recordings. This personal information will be used to communicate the screening results to the organization. Candidates will also be notified that they have the option to request the deletion of their information after the assessment. 

To understand Knockri’s function in the staffing process, the Privacy Impact Assessment (PIA) will focus on examining the platform and conducting a thorough assessment of the stages in the staffing process where Knockri will intervene. The PIA will assess the creation, collection, use, disclosure and retention of personal information collected in support of the use of the Knockri platform in the staffing process. To understand Knockri’s function in the staffing process, the PIA will concentrate on the platform as well as a outline the role of the platform within the staffing process at TBS. 

Estimated Completion Date: April 2024","Utiliser l’intelligence artificielle (IA) pour automatiser les évaluations des candidats pendant la phase d’évaluation du processus de dotation. Knockri est un fabricant de logiciels qui se spécialise dans les évaluations d’embauche fondées sur l’IA. Le fabricant fournit une plateforme d’évaluation des compétences fondée sur l’IA qui vise à aider les employeurs à prendre des décisions d’embauche plus éclairées en évaluant les aptitudes et les compétences liées à l’emploi des candidats. Le logiciel de Knockri utilise le traitement du langage naturel (TLN) et des algorithmes d’apprentissage automatique pour analyser les réponses des candidats à des questions d’entrevue vidéo ou textuelles. La plateforme évalue divers facteurs, tels que la maîtrise de la langue, les compétences en communication, les capacités cognitives et les traits de personnalité, afin de donner aux employeurs une idée de l’adéquation des candidats avec un rôle en particulier. En s’appuyant sur l’IA et l’automatisation, Knockri vise à réduire les biais dans le processus d’embauche et à améliorer l’efficience globale en aidant les employeurs à cerner plus efficacement les candidats les plus qualifiés. Il fournit des aperçus et des analyses fondés sur des données afin d’aider les organisations à prendre des décisions objectives et éclairées au cours de leurs processus de recrutement. 
Dans le cadre de ce projet pilote, la Division des ressources humaines (DRH) collaborera avec l’équipe de recrutement de personnes issues des groupes visés par l’équité en matière d’emploi afin de tirer parti de Knockri au stade de l’évaluation du processus d’embauche d’un total d’environ 350 candidats des Services administratifs (AS) et de la Direction (EX). Les candidats peuvent choisir de se soumettre à l’évaluation Knockri ou de demander une mesure d’adaptation. Si un candidat décide de procéder à l’évaluation Knockri, il recevra, avant celle-ci, un courriel expliquant le fonctionnement de la plateforme. Dans ce courriel, les candidats seront informés que Knockri recueillera et conservera leurs renseignements, y compris leur adresse de courriel, et des enregistrements sonores. Ces renseignements personnels serviront à communiquer les résultats de la présélection à l’organisation. Les candidats seront également informés qu’ils auront la possibilité de demander la suppression de leurs renseignements après l’évaluation. 
Pour comprendre la fonction que Knockri remplit au cours du processus de dotation, l’évaluation des facteurs relatifs à la vie privée (EFVP) sera axée sur l’examen de la plateforme et sur la réalisation d’une évaluation approfondie des stades du processus de dotation où Knockri interviendra. L’EFVP évaluera la création, la collecte, l’utilisation, la divulgation et la conservation des renseignements personnels recueillis à l’appui de l’utilisation de la plateforme Knockri au cours du processus de dotation. Pour comprendre le rôle que Knockri remplit au cours du processus de dotation, l’EFVP se concentrera sur la plateforme et décrira le rôle que la plateforme remplit au cours du processus de dotation au Secrétariat du Conseil du Trésor du Canada.",1,0,1,1,"Personal information collected during the staffing process will be retained for five years after the last administrative action and will then be deleted. Alternatively, it may be deleted at the request of the Human Resources Division or the individual involved.","Les renseignements personnels recueillis au cours du processus de recrutement seront conservés pendant cinq ans après la dernière mesure administrative, puis supprimés. Elles peuvent également être supprimées à la demande de la Division des ressources humaines ou de la personne concernée."
32,1,,,1,1,1,1,Create a primary key,
35,1,,,1,0,0,,,
38,0,,,1,0,1,0,,
