submission_id,public_scrutiny_score,vulnerable_clients_score,high_stakes_score,staff_impact_score,disability_barriers_score,risk_total
3,3,0,0,0,,3
8,3,0,4,0,0,7
9,0,3,0,0,0,3
12,3,0,0,0,0,3
21,3,0,0,0,0,3
22,3,0,0,0,,3
28,0,0,0,0,0,0
32,0,0,0,0,0,0
35,3,0,0,0,,3
38,0,0,0,0,0,0
47,3,3,4,0,,10
48,3,3,4,0,,10
53,3,3,4,0,,10
54,3,0,0,0,,3
59,3,0,0,0,0,3
60,3,0,0,0,0,3
64,0,0,0,0,0,0
68,3,3,4,0,,10
75,0,0,4,0,0,4
83,3,0,0,0,,3
86,0,0,0,0,0,0
87,0,0,0,0,0,0
89,3,0,4,3,,10
91,3,0,4,3,,10
95,0,0,0,0,0,0
97,3,3,0,0,0,6
99,3,3,0,0,0,6
106,0,0,0,0,,0
109,0,0,0,0,,0
112,3,0,4,0,0,7
