Number,Question,Selected answer
7,What parts of the decision-making process will be automated by this system?,"7a: Risk scoring, profiling, or categorization of a client in terms of risk
7b: Recommendation to take a certain course of action
7c: Render a complete administrative decision"
7.1,Does the recommendation or decision made by the system involve discretion?,"1: Yes
2: No"
7.1.1,Describe what is discretionary about the decision,Free Text
7.1.2,"Is the decision purely discretionary? (e.g., a review on compassionate grounds)","1: Yes
2: No"
7.1.3,Have all the decision points that involve the exercise of human discretion been clearly identified?,"1: Yes
2: No"
8,How long is the system expected to function?,"1: One time only 
2: For a limited duration 
3: Indefinitely"
9,"Can this decision result in the restriction of movement into, out of, or within Canada?","1: Yes
2: No"
10,"Is this decision regarding an individual's past, current, or potential criminal activity?","1: Yes
2: No"
10.1,Can this automated system increase the likelihood of incarceration for an individual?,"1: Yes
2: No"
11,"Is this a decision about the provision of health care to an individual, community, or population?","1: Yes
2: No"
12,Can this system result in granting or restricting access to a premises or network?,"1: Yes
2: No"
12.1,What is the classification of the premises? (select one),"1: None
2: Protected
3: Protected A
4: Protected B
5: Protected C
6: Classified
7: Confidential
8: Secret
9: Top Secret"
13," Does this system provide funds to an individual, business, or community? ","1: Yes
2: No"
13.1,Is this funding for a social support program for an individual? ,"1: Yes
2: No"
13.1.1,"If funding were to be denied, could it leave the client in a precarious economic position? (e.g., could render an individual homeless or a business to close)","1: Yes
2: No"
13.2,Does the system issue transfer payments to a business or organization?,"1: Yes
2: No"
13.2.1,"Is this grant, contribution, or transfer payment in excess of $2,000,000 per payment? ","1: Yes
2: No"
13.3,"Does this system, result in the issuance of a fine, administrative monetary penalty, or a debt collection notice?","1: Yes
2: No"
14,"Does this system result in the issuance of a permit, license, or an intellectual property right?","1: Yes
2: No"
14.1,"Does this involve the collection, transportation, storage, purchase or sale of a regulated good or substance?","1: Yes
2: No"
14.1.1,"Is this regulated good or substance dangerous, such as a firearm, toxin, or hazardous material?","1: Yes
2: No"
14.2,Is this a construction or environmental permit?,"1: Yes
2: No"
14.3,"Is this a patent, trademark, or copyright?","1: Yes
2: No"
15,"Is this a decision regaring the structure of a market (e.g., merger or acquisition, a limit to the number of market entrants)?","1: Yes
2: No"
16,"Does this system confer a legal status that is otherwise required to receive a benefit or service (e.g., Indian status, veteran status)?","1: Yes
2: No"
17,Is this a decision regarding the provision of consular services?,"1: Yes
2: No"
18,Does this system involve the distribution of human resources or material in the management of emergencies?,"1: Yes
2: No"
19,What are the key business drivers for automating the administrative decision-making process? (Check all that apply),"19a: The immediate decisions of the system could save lives
19b: Existing backlog of work or cases
19c: Improve overall quality of decisions
19d: Lower transaction costs of an existing program
19e: The system is performing tasks that humans could not accomplish in a reasonable period of time
19f: Improve client service delivery
19g: Using innovative approaches
19h: None of the above"
20,Will your system make decisions specifically about Indigenous peoples or territory? ,"1: Yes
2: No"
20.1,Have you engaged relevant Indigenous organizations in meaningful consultation in the design of the system?,"1: Yes
2: No"
21,Who collected the data used for training the system? (Check all that apply),"21a: Your institution
21b: Another federal institution
21c: Another level of government
21d: A foreign government
21e: A non-government third party"
22,Who collects the input data used by the system? (Check all that apply),"22a: Your institution
22b: Another federal institution
22c: Another level of government
2d: A foreign government
22e: A non-government third party"
23,Have you consulted with relevant stakeholder groups representing those likely to be affected by the decision?,"1: Yes
2: No"
23.1,"To your knowledge, do these stakeholders support automation being included in the decision?","1: Yes
2: No
3: Unsure"
24,Is there a process in place to document how data quality issues were resolved during the design process?,"1: Yes
2: No"
24.1,Please tell us more about this process,Free Text
25,Have you undertaken Gender Based Analysis Plus of the training data?,"1: Yes
2: No
3: Not applicable"
25.1,"Based on the GBA+ results, have you documented mitigation strategies?","1: Yes
2: No
3: Not applicable"
26,Does the Automated Decision System use personal information as input data?,"1: Yes
2: No"
26.1,Does the program have an existing Privacy Impact Assessment?,"1: Yes
2: No"
27,"Have you assigned accountability in your institution for the design, development, maintenance, and improvement of the system?","27a: Design
27b: Development
27c: Maintenance
27d: Improvement"
28,What is the highest security classification of the input data used by the system? (Select one),"1: None
2: Protected
3: Protected A
4: Protected B
5: Protected C
6: Classified
7: Confidential
8: Secret
9: Top Secret"
29,Does the system require the analysis of unstructured data to render a recommendation or a decision?,"1: Yes
2: No
3: Unsure"
29.1,What types of unstructured data (Check all that apply)?,"29.1a: Audio
29.1b: Biological data
29.1c: Geographical data
29.1d: Handwriting
29.1e: Images
29.1f: Text
29.1g: Video
29.1h: Other"
29.1.1,What are the other types of unstructured data?,Free Text
30,"Does your system require input data from an Internet- or telephony-connected device? (e.g. a sensor, drone)","1: Yes
2: No"
31,"Does your system use contactless machine vision for biometric recognition (e.g. facial, full-body person, gait)?","1: Yes
2: No"
31.1,Does your system perform within acceptable parameters for all skin colours as defined by the Fitzpatrick Skin Type scale or similar measurement?,"1: Yes
2: No
3: Not applicable"
31.2,"Where applicable, have you tested to ensure that the system performs within acceptable parameters with persons who have a disability that may cause them to be unduly disadvantaged by the machine vision component? (E.g., ensuring that a gait analysis tool does not unduly disadvantage an individual that uses a wheelchair)","1: Yes
2: No
3: Not applicable"
32,Have appropriate strategies been developed to manage the risk that outdated or unreliable data is used to make an automated decision?,"1: Yes
2: No"
32.1,"If you'd like, provide us more detail on these strategies:",Free Text
33,Is the scope of the system clearly reflected in project documentation?,"1: Yes
2: No"
34,Does the system interface with other IT systems?,"1: Yes
2: No"
34.1,"Where it interfaces with other systems, have you clearly identified the business processes that occur between systems?","1: Yes
2: No"
